installation_id,name,latitude,longitude,accuracy
420275,30nmills-426-1,43.0679903,-89.4045294,30
422217,30nmills-441-1,43.0686917,-89.40453169999999,20
421097,30nmills-446-1,43.068557,-89.4046206,20
418573,30nmills-458-1,43.068849799999995,-89.4047185,30
421638,30nmills-467-1,43.0685316,-89.40439409999999,20
418596,30nmills-472-1,43.0688727,-89.4043502,30
416126,3330ua-200-1,43.075995,-89.44542799999999,30
414146,3330ua-200-2,43.0757954,-89.4459998,30
421661,333ecm-7302-1,43.0725917,-89.3983219,20
420974,333ecm-7401-1,43.0724447,-89.398759,20
418897,333ecm-7433-1,43.07221800000001,-89.398198,20
422045,333ecm-7453-1,43.0724182,-89.3980728,20
421525,333ecm-7457-1,43.07254330000001,-89.3981543,20
419860,333ecm-7505-1,43.0723816,-89.3987427,20
419513,333ecm-7514a-1,43.0724412,-89.39862269999999,20
419323,333ecm-7514c-1,43.0726301,-89.3983993,20
418996,333ecm-8104-1,43.0727122,-89.3985202,20
420520,333ecm-8808-1,43.0720459,-89.3987506,55
418882,333ecm-8808-2,43.0721358,-89.3986568,30
420722,333ecm-8808-3,43.0722422,-89.3987248,30
418997,333ecm-8815-1,43.0723827,-89.3987885,20
417462,3817mp-100m-1,43.0605918,-89.43922479999999,20
422454,3817mp-100m-3,43.0604948,-89.4396573,30
417938,3817mp-100m-4,43.060389,-89.4391005,20
422448,3817mp-100m-5,43.0608727,-89.43918269999999,20
417440,3817mp-101-1,43.0606587,-89.43983539999999,48
422445,3817mp-104-1,43.0608413,-89.4396864,20
422441,3817mp-107-1,43.0608589,-89.43943929999999,78
417443,3817mp-112-1,43.0607788,-89.4392914,25
418020,3817mp-115-1,43.0609499,-89.439532,20
417941,3817mp-122-1,43.0603361,-89.4395449,30
417974,3817mp-128-1,43.0606973,-89.4395095,30
417892,3817mp-136-1,43.060378299999996,-89.4390753,20
417948,3817mp-137-1,43.0606024,-89.43913479999999,30
417633,3817mp-138-1,43.061003199999995,-89.43902229999999,30
418158,432nm-113-1,43.0748737,-89.3992761,30
420169,432nm-122-1,43.0745207,-89.3996349,20
420237,432nm-132-1,43.074261299999996,-89.3993168,20
418164,432nm-207-1,43.0746142,-89.3989162,30
421603,432nm-214-1,43.074725699999995,-89.3995396,30
421801,432nm-232-1,43.0742622,-89.3992328,21
420022,432nm-301a-1,43.0747127,-89.39935679999999,20
419744,432nm-319-1,43.074667700000006,-89.3996078,30
418441,432nm-322-1,43.0746392,-89.3997084,30
418291,432nm-329-1,43.0743601,-89.3989047,30
422245,432nm-334-1,43.074439,-89.3994519,20
422142,432nm-403-1,43.0745933,-89.39924309999999,20
418163,432nm-410-1,43.074656399999995,-89.3992229,20
418390,432nm-414-1,43.0749092,-89.4001191,30
420674,432nm-418-1,43.07452,-89.3994256,20
418140,432nm-425-1,43.074195599999996,-89.3992401,30
418141,432nm-425a-1,43.074287299999995,-89.3994416,30
421730,432nm-b1-1,43.074658899999996,-89.3996581,20
418562,432nm-b16-1,43.0746776,-89.39897610000001,20
418840,502hrik-2-1,43.074369399999995,-89.4229584,30
418581,502hrik-beetlab-1,43.0741723,-89.42292599999999,30
418184,565sd-121-1,43.0552584,-89.4676609,20
421674,565sd-134-1,43.0554231,-89.4674908,20
421667,565sd-136-1,43.055522599999996,-89.46762129999999,30
418183,565sd-138-1,43.0553084,-89.4678059,20
418305,565sd-210-1,43.055135299999996,-89.4676868,30
419025,565sd-217-1,43.0551965,-89.46759809999999,20
418458,565sd-227-1,43.0553333,-89.4681224,45
419517,565sd-229-1,43.0552953,-89.4684915,30
419479,565sd-233-1,43.0554278,-89.46820450000001,52
419381,565sd-238-1,43.055523699999995,-89.4680421,60
418167,585sd-105-1,43.05493,-89.4677241,30
418138,585sd-111-1,43.0551491,-89.467283,30
